,Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3),p_uncor
0,1,62,-13,-10,5.2249346,46,2.45678244365109e-07
1,2,45,-80,17,4.6833496,62,2.8211240807896648e-06
2,3,-2,26,51,4.461555,1281,7.261320832919499e-06
3,3a,6,21,56,4.4498973,,7.624371912507919e-06
4,3b,-12,23,53,4.2902184,,1.4736990542468948e-05
5,3c,6,28,51,4.2719383,,1.58741890613864e-05
6,4,11,14,59,3.9484556,140,5.691581546598549e-05
8,5,43,-83,18,3.770747,62,0.00011120145107116776
7,4a,1,13,59,3.7427614,,0.00012331333070937623
9,6,22,-74,55,3.6705437,31,0.00016059134339401442
10,7,-28,28,-20,3.640037,31,0.00017934033718161718
11,8,6,28,33,3.525018,234,0.0002702635426643614
12,9,28,-95,15,3.4996555,31,0.00029545038986870785
13,10,30,-93,20,3.4480255,62,0.0003536805327838889
14,11,19,14,56,3.39892,62,0.0004188970770091903
15,12,-38,28,-17,3.3962119,15,0.00042280258987485877
16,13,27,-71,54,3.3934631,15,0.00042680136268216125
17,14,11,-101,0,3.3853858,62,0.00043875776956662485
18,15,7,8,-11,3.3299146,15,0.0005297198084383639
19,16,12,-77,52,3.3258915,46,0.0005369585806238242
20,17,-7,21,56,3.2572284,15,0.0006756430756177841
21,18,29,-11,62,3.248242,15,0.0006960810580755267
22,19,-37,-89,7,3.247873,93,0.0006969320574605702
24,20,2,-72,54,3.2435899,15,0.000706885658847884
23,19a,-37,-89,17,3.2241323,,0.000753789078055825
25,21,11,-99,3,3.208065,31,0.0007946826509136145
26,22,39,21,39,3.207021,15,0.000797409887327394
27,23,-29,44,7,3.2058957,15,0.00080035922768455
28,24,-26,25,-20,3.150763,15,0.0009578918004581999
29,25,-4,32,35,3.1306572,15,0.0010221606404458247
